cell_name,y_true,a_mean,a_std,b_mean,b_std,c_mean,c_std,d_mean,d_std,s_mean,s_std
SEV_batch3_c004,441.0,0.4461946070194244,0.10477130765613962,0.5059258937835693,0.0065961024443518925,0.222644704580307,0.2655072996137133,0.20594271421432495,0.022949145795537192,0.7531222462654114,0.05273264855499468
SEV_batch3_c007,389.0,0.4526463449001312,0.09339874368365671,0.5003579020500183,0.012031251382849049,0.26590860188007354,0.25596394318992105,0.2027001738548279,0.022680297373222955,0.7332857728004456,0.05903778235004544
SEV_batch3_c008,426.0,0.4704240202903748,0.07286147809254528,0.5168815612792969,0.011247090876862745,0.1853606328368187,0.24038776760558292,0.20950576663017273,0.01991907835063421,0.7726105928421021,0.04226217606081295
SEV_batch3_c009,371.0,0.46297106742858884,0.10097713101229547,0.5028567552566529,0.011083157611356509,0.262541051954031,0.24993418742877166,0.2035002201795578,0.010277800779878369,0.7603674411773682,0.04480116245582553
SEV_batch3_c012,463.0,0.5367426037788391,0.03161807047103947,0.5118996262550354,0.003723137048122843,0.3070608526468277,0.2909016188695172,0.20874915421009063,0.005118568848661337,0.8117953181266785,0.025242722525611893
SEV_batch3_c013,377.0,0.4750370442867279,0.111568391702536,0.515692126750946,0.012999135186559787,0.19171659126877785,0.20487472537775048,0.21119532883167266,0.004089721075203345,0.787262785434723,0.043502359242722576
SEV_batch3_c015,519.0,0.5263118147850037,0.022871909607972613,0.5112141251564026,0.006414147350128666,0.23075083568692206,0.31471442175848047,0.2071715384721756,0.007998794205523558,0.814496886730194,0.02374494081095626
SEV_batch3_c016,568.0,0.5073884665966034,0.035379514869898494,0.4913042485713959,0.007519925846574039,0.21779165789484978,0.3015994263993414,0.194749054312706,0.01428494986859329,0.785010015964508,0.024879592833386248
SEV_batch3_c018,591.0,0.4221196949481964,0.10428340005032814,0.5013437509536743,0.018203454067801144,0.21492106318473816,0.2678291574626276,0.19290048480033875,0.01784694399741949,0.734043550491333,0.04137900609733693
SEV_batch3_c020,660.0,0.5261216878890991,0.02916738018993455,0.5057878971099854,0.007334010945943577,0.18712927103042604,0.3149626199812183,0.20114105343818664,0.006019700820832649,0.7976013422012329,0.03632134891372659
SEV_batch3_c021,409.0,0.32079882025718687,0.19781470003048265,0.44402785301208497,0.06297565656429127,0.08369268476963043,0.3400562570122986,0.18251429200172425,0.0702090183646685,0.6143244206905365,0.1987222246884035
SEV_batch3_c025,391.0,0.5233672678470611,0.025254949084649942,0.4952152013778687,0.015424654883968946,0.259920509159565,0.2813016075546242,0.20260853171348572,0.025327905476541027,0.7649900674819946,0.0429416075547584
SEV_batch3_c026,673.0,0.5234137773513794,0.022094464759411788,0.513901698589325,0.005458418619011953,0.24778444766998292,0.2956252781170288,0.2087268829345703,0.009253955889957796,0.810979688167572,0.019143435981885497
SEV_batch3_c027,773.0,0.5247235417366027,0.023401829565394088,0.5056193470954895,0.007003490687341454,0.1797930620610714,0.2905785024199832,0.200579696893692,0.010470399148943429,0.793693208694458,0.026565524634218903
SEV_batch3_c028,348.0,0.40809720754623413,0.15037679883912344,0.5642078280448913,0.02021724735993379,0.05680060386657715,0.3925777796085451,0.23726052343845366,0.02937258582703137,0.8011966586112976,0.04840925459471595
SEV_batch3_c029,734.0,0.47196879982948303,0.10759763366918527,0.5134682297706604,0.008303996150188397,0.19341930523514747,0.1910942217450374,0.20797068476676941,0.005827502519585733,0.7827328085899353,0.035945761879442206
SEV_batch3_c030,753.0,0.5424858748912811,0.0444806705751724,0.5194085955619812,0.004176892562737262,0.24544624835252762,0.2961948296167282,0.20734358131885527,0.012520668995214366,0.8163400292396545,0.03429186940442288
SEV_batch3_c036,863.0,0.42321624755859377,0.09062522368577834,0.47914745211601256,0.014723512709850211,0.1563769057393074,0.2727022029385811,0.17009690701961516,0.014650753206203479,0.6906388640403748,0.06974466545018783
SEV_batch3_c037,598.0,0.5584317326545716,0.16230105906720216,0.5585995972156524,0.08638126676050041,0.23963311612606047,0.3876359612148805,0.21372868865728378,0.13975514152163102,0.8802431225776672,0.26391839308219955
SEV_batch3_c038,1681.0,0.4777622580528259,0.10113989680695396,0.5089722990989685,0.00740681175610322,0.23260705471038817,0.25588971532751464,0.20822198390960694,0.008036230365785997,0.7842800736427307,0.04121088716522034
SEV_batch3_c039,938.0,0.4110886812210083,0.11032887655778961,0.4819883108139038,0.02274532765902926,0.09284001663327217,0.2519392070269677,0.18548720479011535,0.01785395927805353,0.6866942882537842,0.05661532931152812
SEV_batch3_c040,237.0,0.4507704615592957,0.1070576722079908,0.5140060782432556,0.006244614604550651,0.1413410224020481,0.23718054180144696,0.20829190611839293,0.007896752850575065,0.7509011149406433,0.044616118097875045
SEV_batch3_c041,621.0,0.5067971706390381,0.037887061434887244,0.47390533089637754,0.023843141071822522,0.14711569547653197,0.30916857994434815,0.18031994700431825,0.02472341940082907,0.7282101035118103,0.06756833415082336
SEV_batch3_c042,1341.0,0.46761264801025393,0.09643928912435426,0.5221563696861267,0.013613722687970875,0.18804681450128555,0.2763535349659841,0.2168038696050644,0.015097326103219472,0.7662261009216309,0.05998839174315913
SEV_batch3_c043,706.0,0.4795700430870056,0.0838682134495376,0.5152392148971557,0.00863842070420963,0.22756074219942093,0.27548026795020497,0.21092994511127472,0.02355544077413033,0.7656883120536804,0.053740789680871155
SEV_batch3_c045,636.0,0.4540237784385681,0.09962667201003232,0.5036832928657532,0.02590983871000539,0.2711054004728794,0.264027761912011,0.20677851140499115,0.025048821469277175,0.7590372800827027,0.055918224370180625
