metric,n_early,baseline,family,pinn,base,delta,ci_lo,ci_hi,wilcoxon_p,favours_pinn
MAE,150,Transformer,deep-learning,117.36094,257.0584533333333,-139.69751333333332,-164.60725333333332,-119.98717333333332,0.03125,True
MAE,150,Informer,deep-learning,117.36094,256.2710666666667,-138.91012666666666,-162.37257333333335,-119.21542666666664,0.03125,True
MAE,150,PatchTST,deep-learning,117.36094,256.17993333333334,-138.81899333333334,-161.74969333333337,-117.14860666666667,0.03125,True
MAE,150,GaussianProcess,classical,117.36094,116.36542000000001,0.995520000000002,-3.3249266666666615,5.173553333333342,0.6875,False
MAE,150,RandomForest,classical,117.36094,124.62974000000001,-7.2687999999999935,-13.18581513542913,-2.1820333333333224,0.03125,True
MAE,150,XGBoost,classical,117.36094,138.43488000000002,-21.073939999999997,-29.037373333333328,-11.25754,0.03125,True
MedianAE,50,PINN_UQ,deep-learning,79.23407999999999,106.09922666666667,-26.865146666666668,-39.430533333333344,-15.47042666666666,0.03125,True
MedianAE,50,Pure_NN,deep-learning,79.23407999999999,114.48953999999999,-35.25546000000001,-64.73128666666668,-16.941666666666663,0.0625,True
MedianAE,50,Ensemble_NN,deep-learning,79.23407999999999,102.53376,-23.299680000000002,-74.51244666666666,7.277780000000002,0.40625,False
MedianAE,50,Neural_ODE,deep-learning,79.23407999999999,120.18316666666666,-40.949086666666666,-59.76995333333334,-29.00528666666666,0.03125,True
MedianAE,50,LSTM,deep-learning,79.23407999999999,228.19654666666665,-148.96246666666667,-210.5467866666667,-85.18955333333332,0.03125,True
MedianAE,50,GRU,deep-learning,79.23407999999999,226.99220666666665,-147.75812666666667,-209.33714,-83.98590666666668,0.03125,True
MedianAE,50,Bayesian_LSTM,deep-learning,79.23407999999999,228.40866666666665,-149.17458666666667,-205.5388266666667,-84.0372977324263,0.03125,True
MedianAE,50,Transformer,deep-learning,79.23407999999999,201.53809333333336,-122.30401333333334,-183.87569333333334,-58.54513333333334,0.03125,True
MedianAE,50,Informer,deep-learning,79.23407999999999,200.45977333333332,-121.22569333333331,-182.1518733333333,-57.836913333333335,0.03125,True
MedianAE,50,PatchTST,deep-learning,79.23407999999999,199.96929333333333,-120.73521333333333,-182.02349999999996,-57.54265333333333,0.03125,True
MedianAE,50,GaussianProcess,classical,79.23407999999999,82.54038,-3.306300000000003,-31.447700000000008,6.9109333333333325,0.78125,False
MedianAE,50,RandomForest,classical,79.23407999999999,109.43842000000002,-30.204340000000013,-55.68674666666669,-3.463193333333338,0.15625,True
MedianAE,50,XGBoost,classical,79.23407999999999,115.08991999999998,-35.85584,-71.56565333333334,-12.423186666666666,0.0625,True
MedianAE,100,PINN_UQ,deep-learning,69.60050000000001,85.98017999999999,-16.37968,-32.02899999999998,-8.532053333333334,0.03125,True
MedianAE,100,Pure_NN,deep-learning,69.60050000000001,112.66585333333333,-43.06535333333333,-70.43635333333333,-20.57785999999999,0.03125,True
MedianAE,100,Ensemble_NN,deep-learning,69.60050000000001,98.92420666666666,-29.32370666666666,-67.6839,-3.362853333333328,0.15625,True
MedianAE,100,Neural_ODE,deep-learning,69.60050000000001,97.32264,-27.722139999999996,-47.72741333333333,-7.216453333333334,0.15625,True
MedianAE,100,LSTM,deep-learning,69.60050000000001,235.87781999999999,-166.27731999999997,-225.16712666666666,-83.51916000000001,0.03125,True
MedianAE,100,GRU,deep-learning,69.60050000000001,234.37104,-164.77054,-226.36666666666665,-87.12432,0.03125,True
MedianAE,100,Bayesian_LSTM,deep-learning,69.60050000000001,235.98436666666666,-166.38386666666662,-225.27595333333335,-83.6203933333333,0.03125,True
MedianAE,100,Transformer,deep-learning,69.60050000000001,208.50401333333335,-138.90351333333334,-200.4867266666666,-66.18329999999999,0.03125,True
MedianAE,100,Informer,deep-learning,69.60050000000001,207.80557999999996,-138.20508,-199.58095999999998,-66.00694000000001,0.03125,True
MedianAE,100,PatchTST,deep-learning,69.60050000000001,207.61895333333337,-138.01845333333333,-196.77597999999998,-60.64096000000001,0.03125,True
MedianAE,100,GaussianProcess,classical,69.60050000000001,90.00644000000001,-20.405939999999998,-37.16088666666666,2.322506666666669,0.09375,False
MedianAE,100,RandomForest,classical,69.60050000000001,98.59756,-28.997059999999998,-58.76239333333334,-16.220306666666666,0.03125,True
MedianAE,100,XGBoost,classical,69.60050000000001,109.4577,-39.8572,-55.496853333333334,-22.614046666666656,0.03125,True
MedianAE,150,PINN_UQ,deep-learning,59.45993333333333,74.56896666666667,-15.109033333333333,-29.35710666666667,2.72936,0.09375,False
MedianAE,150,Pure_NN,deep-learning,59.45993333333333,85.03411999999999,-25.57418666666666,-36.89553999999998,-11.384793333333322,0.03125,True
MedianAE,150,Ensemble_NN,deep-learning,59.45993333333333,86.19925333333335,-26.73932,-36.212399999999995,-13.816473333333338,0.03125,True
MedianAE,150,Neural_ODE,deep-learning,59.45993333333333,83.74814666666666,-24.28821333333333,-38.045966666666665,-10.717693333333326,0.03125,True
MedianAE,150,LSTM,deep-learning,59.45993333333333,260.30119333333334,-200.84126,-246.2345533333333,-135.01629333333332,0.03125,True
MedianAE,150,GRU,deep-learning,59.45993333333333,258.8734,-199.41346666666664,-242.71747333333332,-133.50208,0.03125,True
MedianAE,150,Bayesian_LSTM,deep-learning,59.45993333333333,260.4783,-201.01836666666662,-244.59009999999998,-135.00139333333337,0.03125,True
MedianAE,150,Transformer,deep-learning,59.45993333333333,232.91925999999998,-173.45932666666664,-216.9879,-107.77106666666666,0.03125,True
MedianAE,150,Informer,deep-learning,59.45993333333333,232.1158266666667,-172.65589333333332,-217.98064,-106.96756666666666,0.03125,True
MedianAE,150,PatchTST,deep-learning,59.45993333333333,232.0230066666667,-172.56307333333334,-217.88759333333337,-106.87521999999998,0.03125,True
MedianAE,150,GaussianProcess,classical,59.45993333333333,64.82804,-5.368106666666665,-11.57438,0.43826666666666936,0.15625,False
MedianAE,150,RandomForest,classical,59.45993333333333,92.00642,-32.54648666666667,-39.18867333333334,-23.54105333333333,0.03125,True
MedianAE,150,XGBoost,classical,59.45993333333333,98.34846,-38.888526666666664,-63.65751333333333,0.3578866666666656,0.0625,False
Within_100,50,PINN_UQ,deep-learning,0.5739133333333334,0.48986,-0.08405333333333337,-0.13913333333333336,-0.026060000000000073,0.0625,True
Within_100,50,Pure_NN,deep-learning,0.5739133333333334,0.45796666666666674,-0.11594666666666667,-0.26669333333333334,-0.05218666666666667,0.03125,True
Within_100,50,Ensemble_NN,deep-learning,0.5739133333333334,0.47826,-0.09565333333333334,-0.34494,0.00869333333333333,0.3125,False
Within_100,50,Neural_ODE,deep-learning,0.5739133333333334,0.4666600000000001,-0.10725333333333334,-0.15653333333333339,-0.08405999999999998,0.03125,True
Within_100,50,LSTM,deep-learning,0.5739133333333334,0.33914000000000005,-0.23477333333333333,-0.33622,-0.13332666666666668,0.03125,True
Within_100,50,GRU,deep-learning,0.5739133333333334,0.33914000000000005,-0.23477333333333333,-0.33622,-0.13332666666666668,0.03125,True
Within_100,50,Bayesian_LSTM,deep-learning,0.5739133333333334,0.33914000000000005,-0.23477333333333333,-0.33622,-0.13332666666666668,0.03125,True
Within_100,50,Transformer,deep-learning,0.5739133333333334,0.33044,-0.2434733333333333,-0.33620666666666665,-0.11015333333333337,0.03125,True
Within_100,50,Informer,deep-learning,0.5739133333333334,0.33044,-0.2434733333333333,-0.3362,-0.11015333333333337,0.03125,True
Within_100,50,PatchTST,deep-learning,0.5739133333333334,0.33044,-0.2434733333333333,-0.33620666666666665,-0.11015333333333337,0.03125,True
Within_100,50,GaussianProcess,classical,0.5739133333333334,0.53042,-0.04349333333333336,-0.2782733333333334,0.05794666666666661,0.5625,False
Within_100,50,RandomForest,classical,0.5739133333333334,0.5130600000000001,-0.06085333333333335,-0.11886000000000004,-0.005766666666666631,0.09375,True
Within_100,50,XGBoost,classical,0.5739133333333334,0.45216,-0.12175333333333334,-0.17392,-0.02899333333333337,0.0625,True
Within_100,100,PINN_UQ,deep-learning,0.6155066666666666,0.5662866666666667,-0.04922000000000001,-0.09758000000000003,-0.011579999999999969,0.0625,True
Within_100,100,Pure_NN,deep-learning,0.6155066666666666,0.45636,-0.15914666666666663,-0.2427133333333334,-0.09698666666666671,0.03125,True
Within_100,100,Ensemble_NN,deep-learning,0.6155066666666666,0.49169999999999997,-0.12380666666666666,-0.26057333333333343,-0.03134666666666665,0.0625,True
Within_100,100,Neural_ODE,deep-learning,0.6155066666666666,0.5381400000000001,-0.07736666666666667,-0.17554666666666668,0.02081333333333337,0.15625,False
Within_100,100,LSTM,deep-learning,0.6155066666666666,0.35042,-0.26508666666666664,-0.3799866666666666,-0.14042666666666676,0.03125,True
Within_100,100,GRU,deep-learning,0.6155066666666666,0.35042,-0.26508666666666664,-0.3799866666666666,-0.14042666666666676,0.03125,True
Within_100,100,Bayesian_LSTM,deep-learning,0.6155066666666666,0.35042,-0.26508666666666664,-0.3790285847348607,-0.14042666666666676,0.03125,True
Within_100,100,Transformer,deep-learning,0.6155066666666666,0.34092,-0.27458666666666665,-0.3769466666666666,-0.12952666666666668,0.03125,True
Within_100,100,Informer,deep-learning,0.6155066666666666,0.34092,-0.27458666666666665,-0.3769466666666666,-0.12952666666666668,0.03125,True
Within_100,100,PatchTST,deep-learning,0.6155066666666666,0.34092,-0.27458666666666665,-0.3769466666666666,-0.1325666666666667,0.03125,True
Within_100,100,GaussianProcess,classical,0.6155066666666666,0.51504,-0.10046666666666663,-0.16400666666666658,-0.006893333333333351,0.0625,True
Within_100,100,RandomForest,classical,0.6155066666666666,0.53124,-0.08426666666666668,-0.1373666666666667,-0.031166666666666655,0.0625,True
