split_seed,fold,n_early,model,MAE,MedianAE,Within_50
101,1,50,Ensemble_NN,189.19,125.73,0.2083
101,1,50,Pure_NN,189.19,125.73,0.2083
101,1,50,GaussianProcess,290.49,206.31,0.1667
101,1,50,Neural_ODE,186.31,69.41,0.375
101,1,50,XGBoost,191.69,80.23,0.375
101,1,100,PINN_Knee,187.01,57.12,0.3478
101,1,100,RandomForest,149.41,71.52,0.4783
101,1,100,PINN_UQ,181.02,99.58,0.3478
101,1,100,Ensemble_NN,192.77,109.81,0.3478
101,1,100,Pure_NN,192.77,109.81,0.3478
101,1,100,GaussianProcess,305.71,231.69,0.0435
101,1,100,Neural_ODE,158.59,67.7,0.3913
101,1,100,XGBoost,164.68,87.54,0.4783
101,1,150,PINN_Knee,152.57,61.88,0.4348
101,1,150,RandomForest,131.34,49.92,0.5217
101,1,150,PINN_UQ,161.88,65.5,0.3913
101,1,150,Ensemble_NN,177.33,94.5,0.3043
101,1,150,Pure_NN,177.33,94.5,0.3043
101,1,150,GaussianProcess,209.27,103.03,0.1739
101,1,150,Neural_ODE,123.89,48.04,0.5217
101,1,150,XGBoost,141.1,66.98,0.4783
101,2,50,PINN_Knee,171.71,89.4,0.3913
101,2,50,RandomForest,154.35,87.59,0.4348
101,2,50,PINN_UQ,178.28,64.97,0.3913
101,2,50,Ensemble_NN,185.87,141.62,0.2174
101,2,50,Pure_NN,185.87,141.62,0.2174
101,2,50,GaussianProcess,694.02,211.27,0.087
101,2,50,Neural_ODE,183.38,106.58,0.3478
101,2,50,XGBoost,171.81,81.97,0.3913
101,2,100,PINN_Knee,156.31,72.28,0.3636
101,2,100,RandomForest,136.03,73.77,0.3636
101,2,100,PINN_UQ,154.48,63.18,0.4545
101,2,100,Ensemble_NN,178.87,92.34,0.3182
101,2,100,Pure_NN,178.87,92.34,0.3182
101,2,100,GaussianProcess,355.6,312.94,0.0909
101,2,100,Neural_ODE,155.47,72.17,0.4091
101,2,100,XGBoost,154.09,107.16,0.3636
101,2,150,PINN_Knee,138.42,83.56,0.2381
101,2,150,RandomForest,148.29,101.0,0.2857
101,2,150,PINN_UQ,146.46,94.35,0.2381
101,2,150,Ensemble_NN,160.29,129.59,0.0952
101,2,150,Pure_NN,160.29,129.59,0.0952
101,2,150,GaussianProcess,436.28,277.77,0.1429
101,2,150,Neural_ODE,136.04,51.18,0.4762
101,2,150,XGBoost,173.38,133.29,0.2857
101,3,50,PINN_Knee,150.25,65.74,0.3913
101,3,50,RandomForest,152.28,77.97,0.4348
101,3,50,PINN_UQ,197.59,147.13,0.2609
101,3,50,Ensemble_NN,248.67,179.02,0.2609
101,3,50,Pure_NN,248.67,179.02,0.2609
101,3,50,GaussianProcess,256.26,173.07,0.1304
101,3,50,Neural_ODE,225.57,145.56,0.2174
101,3,50,XGBoost,167.3,55.39,0.4783
101,3,100,PINN_Knee,121.0,50.41,0.4762
101,3,100,RandomForest,116.76,78.97,0.3333
101,3,100,PINN_UQ,162.06,82.82,0.2857
101,3,100,Ensemble_NN,171.05,108.22,0.3333
101,3,100,Pure_NN,171.05,108.22,0.3333
101,3,100,GaussianProcess,254.2,197.98,0.3333
101,3,100,Neural_ODE,144.57,55.77,0.4762
101,3,100,XGBoost,142.35,50.61,0.4762
101,3,150,PINN_Knee,116.85,47.4,0.5
101,3,150,RandomForest,125.51,44.92,0.5
101,3,150,PINN_UQ,120.13,59.52,0.4
101,3,150,Ensemble_NN,132.32,77.94,0.35
101,3,150,Pure_NN,132.32,77.94,0.35
101,3,150,GaussianProcess,275.89,154.28,0.35
101,3,150,Neural_ODE,137.45,75.99,0.35
101,3,150,XGBoost,128.72,52.18,0.5
101,4,50,PINN_Knee,136.06,129.17,0.2174
101,4,50,RandomForest,117.11,65.0,0.3043
101,4,50,PINN_UQ,116.44,69.69,0.3478
101,4,50,Ensemble_NN,135.03,120.99,0.2174
101,4,50,Pure_NN,135.03,120.99,0.2174
101,4,50,GaussianProcess,563.53,201.08,0.1304
101,4,50,Neural_ODE,255.66,105.4,0.2609
101,4,50,XGBoost,100.86,48.7,0.5217
101,4,100,PINN_Knee,97.28,53.18,0.3913
101,4,100,RandomForest,113.46,114.27,0.4783
101,4,100,PINN_UQ,126.47,104.08,0.2174
101,4,100,Ensemble_NN,135.16,110.7,0.2174
101,4,100,Pure_NN,135.16,110.7,0.2174
101,4,100,GaussianProcess,403.05,403.94,0.087
101,4,100,Neural_ODE,113.85,104.43,0.3913
101,4,100,XGBoost,138.84,88.39,0.3478
101,4,150,PINN_Knee,62.22,33.31,0.6667
101,4,150,RandomForest,81.04,44.09,0.5714
101,4,150,PINN_UQ,78.98,48.66,0.5238
101,4,150,Ensemble_NN,88.96,70.66,0.381
101,4,150,Pure_NN,88.96,70.66,0.381
101,4,150,GaussianProcess,259.25,128.44,0.0952
101,4,150,Neural_ODE,118.72,67.36,0.381
101,4,150,XGBoost,92.78,55.26,0.4762
102,0,50,PINN_Knee,81.73,57.47,0.4167
102,0,50,RandomForest,88.84,35.2,0.5833
102,0,50,PINN_UQ,106.58,76.73,0.2917
102,0,50,Ensemble_NN,110.75,77.13,0.2083
102,0,50,Pure_NN,110.75,77.13,0.2083
102,0,50,GaussianProcess,292.63,266.32,0.2083
102,0,50,Neural_ODE,89.44,55.41,0.5
102,0,50,XGBoost,100.63,28.34,0.5417
102,0,100,PINN_Knee,77.54,52.32,0.4583
102,0,100,RandomForest,98.18,40.75,0.5833
102,0,100,PINN_UQ,120.85,85.94,0.375
102,0,100,Ensemble_NN,139.36,90.7,0.3333
102,0,100,Pure_NN,139.36,90.7,0.3333
102,0,100,GaussianProcess,287.65,127.63,0.0833
102,0,100,Neural_ODE,124.04,87.66,0.3333
102,0,100,XGBoost,103.84,35.64,0.5833
102,0,150,PINN_Knee,64.81,38.39,0.5217
102,0,150,RandomForest,100.06,41.22,0.5217
102,0,150,PINN_UQ,73.52,54.39,0.4348
102,0,150,Ensemble_NN,85.91,61.36,0.3478
102,0,150,Pure_NN,85.91,61.36,0.3478
102,0,150,GaussianProcess,291.34,134.67,0.2174
102,0,150,Neural_ODE,90.2,51.67,0.4783
102,0,150,XGBoost,123.4,9.64,0.6522
102,1,50,PINN_Knee,154.27,71.66,0.375
102,1,50,RandomForest,163.4,81.91,0.25
102,1,50,PINN_UQ,154.64,97.76,0.375
102,1,50,Ensemble_NN,162.79,86.47,0.2917
102,1,50,Pure_NN,162.79,86.47,0.2917
102,1,50,GaussianProcess,296.64,247.06,0.125
102,1,50,Neural_ODE,169.17,131.26,0.2917
102,1,50,XGBoost,195.14,165.07,0.2917
102,1,100,PINN_Knee,156.63,84.5,0.2917
102,1,100,RandomForest,135.85,100.56,0.3333
102,1,100,PINN_UQ,168.83,87.14,0.1667
102,1,100,Ensemble_NN,178.16,108.9,0.2083
102,1,100,Pure_NN,178.16,108.9,0.2083
102,1,100,GaussianProcess,254.31,211.15,0.1667
102,1,100,Neural_ODE,168.45,102.14,0.2083
102,1,100,XGBoost,124.16,77.99,0.4167
102,1,150,PINN_Knee,172.52,106.23,0.1739
102,1,150,RandomForest,177.39,119.2,0.3913
102,1,150,PINN_UQ,163.99,114.76,0.3043
102,1,150,Ensemble_NN,168.05,114.89,0.1304
102,1,150,Pure_NN,168.05,114.89,0.1304
102,1,150,GaussianProcess,232.68,157.11,0.1304
102,1,150,Neural_ODE,150.01,66.92,0.3478
102,1,150,XGBoost,221.45,83.15,0.4348
102,2,50,PINN_Knee,123.27,79.91,0.3913
102,2,50,RandomForest,149.89,97.51,0.2174
102,2,50,PINN_UQ,139.08,76.87,0.3043
102,2,50,Ensemble_NN,146.71,104.8,0.3478
102,2,50,Pure_NN,146.71,104.8,0.3478
102,2,50,GaussianProcess,449.4,289.56,0.1304
102,2,50,Neural_ODE,130.83,88.35,0.4348
102,2,50,XGBoost,198.04,65.09,0.4783
102,2,100,PINN_Knee,114.39,87.28,0.3913
102,2,100,RandomForest,118.33,76.32,0.1739
102,2,100,PINN_UQ,114.3,77.0,0.4783
102,2,100,Ensemble_NN,113.86,67.41,0.3913
102,2,100,Pure_NN,113.86,67.41,0.3913
102,2,100,GaussianProcess,252.31,184.76,0.1739
102,2,100,Neural_ODE,106.36,49.64,0.5217
102,2,100,XGBoost,133.32,105.05,0.3043
102,2,150,PINN_Knee,71.44,49.74,0.5238
102,2,150,RandomForest,102.97,90.19,0.3333
102,2,150,PINN_UQ,93.03,85.82,0.3333
102,2,150,Ensemble_NN,103.81,81.17,0.2857
102,2,150,Pure_NN,103.81,81.17,0.2857
102,2,150,GaussianProcess,322.13,99.5,0.1905
102,2,150,Neural_ODE,87.41,72.47,0.4286
